BRNO,IS_WEEKEND,TIME_SLOT,VISITOR_COUNT,CONGESTION_LEVEL,TOTAL_PAYMENT_AMT,AVG_PAYMENT_AMT,STORE_NM,ROAD_NM_CD,ACTIVITY_TYPE_CD
1048507883.0,0,morning,5,LOW,13500.0,6750.0,맥도날드,2005005.0,1
1048507883.0,1,morning,4,LOW,23900.0,11950.0,맥도날드,2005005.0,1
1048507883.0,1,night,2,LOW,13400.0,13400.0,맥도날드,2005005.0,1
1048509805.0,0,morning,4,LOW,30600.0,15300.0,던킨,2005005.0,1
1048533057.0,0,afternoon,19,MEDIUM,187800.0,23475.0,딜라이트 담양(전시장),4658411.0,3
1048533057.0,0,morning,8,LOW,153600.0,38400.0,딜라이트 담양(전시장),4658411.0,3
1048533057.0,1,afternoon,16,MEDIUM,160100.0,26683.333333333332,딜라이트 담양(전시장),4658411.0,3
1048533057.0,1,morning,3,LOW,20200.0,20200.0,딜라이트 담양(전시장),4658411.0,3
1048626290.0,0,morning,4,LOW,83500.0,41750.0,주식회사 여수씨월드,3282059.0,3
1048626290.0,1,afternoon,4,LOW,57120.0,57120.0,주식회사 여수씨월드,3282059.0,3
1053291108.0,1,night,3,LOW,45200.0,45200.0,구름맥주,3162033.0,1
1053326244.0,0,afternoon,2,LOW,41000.0,41000.0,목화반점,4559595.0,1
1053326244.0,1,afternoon,6,LOW,117000.0,39000.0,목화반점,4559595.0,1
1055200639.0,0,afternoon,2,LOW,5900.0,5900.0,CU,4613350.0,2
1056300178.0,0,afternoon,3,LOW,30000.0,30000.0,진천막국수,3245021.0,1
1056300178.0,1,afternoon,1,LOW,43000.0,43000.0,진천막국수,3245021.0,1
1056700292.0,0,dawn,1,LOW,30000.0,30000.0,더케이지,3251016.0,1
1058548742.0,0,afternoon,4,LOW,25500.0,25500.0,해어름베이커리,4595205.0,1
1058548742.0,1,afternoon,2,LOW,25500.0,25500.0,해어름베이커리,4595205.0,1
1058639463.0,0,afternoon,4,LOW,80000.0,40000.0,형지엘리트,3010004.0,2
1058639463.0,0,night,2,LOW,9900.0,9900.0,형지엘리트,3010004.0,2
1058649205.0,0,afternoon,7,LOW,70400.0,23466.666666666668,디오션리조트,3282043.0,2
1058649205.0,1,morning,3,LOW,46200.0,46200.0,디오션리조트,3282043.0,2
1058692454.0,1,morning,2,LOW,7300.0,7300.0,이마트 24,3121017.0,1
1058701488.0,0,night,4,LOW,8950.0,8950.0,CU,4646880.0,1
1058754063.0,0,morning,11,MEDIUM,20000.0,6666.666666666667,한독(음성캠퍼스),3247011.0,1
1058762281.0,0,afternoon,10,MEDIUM,192600.0,38520.0,주식회사 엠케스,2005008.0,3
1058762281.0,0,night,2,LOW,12000.0,12000.0,주식회사 엠케스,2005008.0,3
1058762281.0,1,morning,4,LOW,88000.0,88000.0,주식회사 엠케스,2005008.0,3
1058791919.0,0,night,2,LOW,32000.0,32000.0,윤옥푸드(지오엠아이앤씨),4169169.0,1
1058816839.0,0,afternoon,4,LOW,12500.0,12500.0,라운지엑스 양갱갱갱,4292379.0,1
1061344801.0,1,afternoon,1,LOW,28000.0,28000.0,소연재,3236067.0,1
1061418580.0,1,afternoon,2,LOW,20000.0,20000.0,명보시네마,3252052.0,3
1061550985.0,1,afternoon,4,LOW,61000.0,61000.0,담양전통숯불돼지갈비,3291031.0,1
1061652355.0,0,morning,4,LOW,4500.0,4500.0,GS25,3302011.0,1
1061891842.0,1,afternoon,3,LOW,20500.0,20500.0,문가든,4682415.0,1
1062622302.0,1,afternoon,2,LOW,4000.0,2000.0,아이언PC,4295567.0,1
1062668536.0,0,afternoon,2,LOW,37000.0,37000.0,창평화성식당,3286017.0,1
1062796795.0,1,night,4,LOW,72000.0,72000.0,대장간,3266047.0,1
1063769017.0,0,night,6,LOW,173500.0,57833.333333333336,돌문어상회,3282078.0,1
1063769017.0,1,afternoon,4,LOW,83000.0,83000.0,돌문어상회,3282078.0,1
1063769017.0,1,night,2,LOW,55000.0,55000.0,돌문어상회,3282078.0,1
1063770023.0,1,night,2,LOW,88000.0,88000.0,소원갈비,3238046.0,1
1063884617.0,1,afternoon,2,LOW,29700.0,29700.0,두발카페,4556658.0,1
1063884617.0,1,morning,4,LOW,11300.0,11300.0,두발카페,4556658.0,1
1064702640.0,1,afternoon,2,LOW,32000.0,32000.0,광주보쌈,3159008.0,1
1064891650.0,1,afternoon,1,LOW,16000.0,16000.0,호선아트스튜디오,3014065.0,1
1066800462.0,1,night,3,LOW,30000.0,30000.0,산마루,3239070.0,1
1067200149.0,0,afternoon,3,LOW,16000.0,16000.0,앙트르뽀,3165007.0,1
1067700203.0,0,afternoon,2,LOW,3000.0,3000.0,오렌지블루그린,4295293.0,2
1068123498.0,0,morning,9,LOW,37900.0,9475.0,롯데리아,4598336.0,1
1068123498.0,1,afternoon,3,LOW,7100.0,3550.0,롯데리아,4598336.0,1
1068123498.0,1,morning,8,LOW,29700.0,7425.0,롯데리아,4598336.0,1
1068123498.0,1,night,2,LOW,1500.0,1500.0,롯데리아,4598336.0,1
1068212718.0,0,afternoon,4,LOW,6000.0,3000.0,아라,3275022.0,3
